id_provinsi,provinsi
1,TIDAK ADA
2,LUAR NEGERI
3,ACEH
4,SUMATERA UTARA
5,SUMATERA BARAT
6,RIAU
7,JAMBI
8,SUMATERA SELATAN
9,BENGKULU
10,LAMPUNG
11,KEPULAUAN BANGKA BELITUNG
12,KEPULAUAN RIAU
13,DAERAH KHUSUS IBUKOTA JAKARTA
14,JAWA BARAT
15,JAWA TENGAH
16,DAERAH ISTIMEWA YOGYAKARTA
17,JAWA TIMUR
18,BANTEN
19,BALI
20,NUSA TENGGARA BARAT
21,NUSA TENGGARA TIMUR
22,KALIMANTAN BARAT
23,KALIMANTAN TENGAH
24,KALIMANTAN SELATAN
25,KALIMANTAN TIMUR
26,KALIMANTAN UTARA
27,SULAWESI UTARA
28,SULAWESI TENGAH
29,SULAWESI SELATAN
30,SULAWESI TENGGARA
31,GORONTALO
32,SULAWESI BARAT
33,MALUKU
34,MALUKU UTARA
35,PAPUA
36,PAPUA BARAT
37,PAPUA SELATAN
38,PAPUA TENGAH
39,PAPUA PEGUNUNGAN
