id_daftar_sekolah,sekolah_asal,tipe_sekolah_asal,kodepos_sekolah,jenis_sekolah,is_deleted,tanggal_input,tanggal_update,id_lokasi
0,TIDAK TERDAFTAR
1,SMA NEGERI 1 MUARA BUNGO,NEGERI,37211,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,95
2,SMA NEGERI 1 BENGKULU UTARA,NEGERI,38611,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,120
3,SMA STELLA DUCE 2 YOGYAKARTA,SWASTA,55225,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
4,SMA NEGERI 1 PANGANDARAN,NEGERI,46396,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,177
5,SMA NEGERI 1 SERUI,NEGERI,98211,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,465
6,SMA KRISTEN PETRA 4,SWASTA,61218,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,237
7,SMA BOPKRI 1 YOGYAKARTA,SWASTA,55224,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
8,SMA KOLESE DE BRITTO,SWASTA,55281,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,213
9,SMA BRUDERAN PURWOREJO,SWASTA,54151,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,193
10,SMK YPK SERUI,SWASTA,98211,SMK,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,465
11,SMA KRISTEN KALAM KUDUS SUKOHARJO,SWASTA,57552,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,195
12,SMA PADMAWIJAYA,SWASTA,57411,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,204
13,SMA NEGERI 1 SINGARAJA,NEGERI,81113,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,262
14,SMA MASEHI KUDUS,SWASTA,59317,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,205
15,SMA NEGERI 1 MENYUKE,NEGERI,79364,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,294
16,SMA BOPKRI 2 YOGYAKARTA,SWASTA,55223,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,215
17,SMA NEGERI 1 PEMALANG,NEGERI,52319,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,198
18,SMA FRATER DON BOSCO MANADO,SWASTA,95123,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,359
19,SMA KATOLIK SANTO YOSEPH,SWASTA,80114,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,263
20,SMA REGINA PACIS SURAKARTA,SWASTA,57143,SMA,0,2022-06-27 10:09:26.000000,2022-06-27 10:09:26.000000,211
