lokasi,status,tipe,id_daftar_sekolah,id_prodi_pilihan_1,id_prodi_pilihan_2,avg_nilai_uan,avg_nilai_raport,is_diterima
0,0,1,10,3,9,0.0,0,0
0,0,0,10,4,9,0.0,0,0
0,0,0,10,9,10,0.0,0,0
1,0,1,25,8,9,0.0,0,0
1,0,1,25,3,9,0.0,0,0
1,0,1,25,3,9,0.0,0,0
1,0,1,25,5,9,0.0,0,0
1,1,1,40,9,5,0.0,0,0
1,0,1,56,9,3,0.0,0,0
1,0,1,45,9,10,0.0,0,0
1,1,1,60,9,4,0.0,0,0
0,0,1,63,9,3,0.0,0,0
1,0,1,20,9,4,0.0,0,0
0,0,1,74,7,9,0.0,0,0
1,1,1,146,7,9,0.0,0,0
1,0,1,35,5,9,0.0,0,0
1,0,1,152,5,9,0.0,0,0
1,1,1,176,7,9,0.0,0,0
0,0,1,178,7,9,0.0,0,0
1,0,1,2221,9,10,0.0,0,0
1,1,1,199,5,9,0.0,0,0
1,0,1,45,9,5,0.0,0,0
0,1,1,221,5,9,0.0,0,0
0,1,1,79,3,9,0.0,0,0
0,1,1,263,4,9,0.0,0,0
1,1,1,264,7,9,0.0,0,0
0,1,1,276,5,9,0.0,0,0
0,1,1,279,3,9,0.0,0,0
0,1,1,232,3,9,0.0,0,0
0,0,1,296,9,4,0.0,0,0
0,0,1,298,5,9,0.0,0,0
1,1,1,2241,5,9,0.0,0,0
0,1,1,212,7,9,0.0,0,0
1,1,1,320,7,9,0.0,0,0
0,1,1,273,7,9,0.0,0,0
0,1,1,339,5,9,0.0,0,0
0,1,1,343,4,9,0.0,0,0
0,1,1,319,3,9,0.0,0,0
0,0,1,2211,7,9,0.0,0,0
1,1,1,360,7,9,0.0,0,0
0,1,1,205,7,9,0.0,0,0
0,1,1,368,7,9,0.0,0,0
0,1,1,184,3,9,0.0,0,0
1,0,1,7,9,1,0.0,0,0
1,0,1,2256,7,9,0.0,0,0
0,1,1,384,7,9,0.0,0,0
0,1,1,398,7,9,0.0,0,0
1,1,1,402,3,9,0.0,0,0
1,1,1,201,5,9,0.0,0,0
0,0,1,2237,9,3,0.0,0,0
1,1,1,434,4,9,0.0,0,0
0,0,1,450,7,9,0.0,0,0
1,0,1,452,9,10,0.0,0,0
0,1,1,2219,9,3,0.0,0,0
1,1,1,459,7,9,0.0,0,0
0,0,1,2237,10,9,0.0,0,0
1,1,1,471,5,9,0.0,0,0
1,1,1,474,7,9,0.0,0,0
1,1,1,288,9,1,0.0,0,0
1,0,1,3,5,9,0.0,0,0
1,1,1,512,5,9,0.0,0,0
1,0,1,32,4,9,0.0,0,0
0,1,1,343,7,9,0.0,0,0
0,1,1,95,7,9,0.0,0,0
0,0,1,520,9,10,0.0,0,0
1,0,1,3,5,9,0.0,0,0
1,0,1,7,7,9,0.0,0,0
0,1,1,529,4,9,0.0,0,0
0,0,1,63,4,9,0.0,0,0
0,0,1,531,9,1,0.0,0,0
1,1,1,534,7,9,0.0,0,0
1,0,0,536,9,1,0.0,0,0
0,1,1,537,7,9,0.0,0,0
0,0,1,539,9,10,0.0,0,0
1,0,1,26,5,9,0.0,0,0
1,0,1,87,9,4,0.0,0,0
1,0,1,7,7,9,0.0,0,0
1,1,1,27,7,9,0.0,0,0
0,0,1,2211,7,9,0.0,0,0
1,0,1,35,7,9,0.0,0,0
1,0,1,16,5,9,0.0,0,0
0,1,1,2206,7,9,0.0,0,0
0,0,1,615,9,4,0.0,0,0
0,0,1,2303,7,9,0.0,0,0
0,1,1,626,3,9,0.0,0,0
0,1,1,409,4,9,0.0,0,0
1,1,1,91,9,3,0.0,0,0
1,1,1,284,9,1,0.0,0,0
1,0,1,59,8,9,0.0,0,0
0,1,1,626,3,9,0.0,0,0
0,1,1,318,7,9,0.0,0,0
1,0,1,2308,5,9,0.0,0,0
0,0,1,664,5,9,0.0,0,0
0,0,1,647,5,9,0.0,0,0
0,1,1,246,7,9,0.0,0,0
0,1,1,110,7,9,0.0,0,0
0,1,1,110,7,9,0.0,0,0
1,1,1,97,7,9,0.0,0,0
0,1,1,687,5,9,0.0,0,0
0,0,1,622,5,9,0.0,0,0
0,1,1,112,5,9,0.0,0,0
1,1,0,2316,7,9,0.0,0,0
1,0,1,16,7,9,0.0,0,0
0,1,1,187,5,9,0.0,0,0
0,1,1,343,7,9,0.0,0,0
0,1,1,344,3,9,0.0,0,0
0,0,1,688,10,9,0.0,0,0
1,1,1,319,7,9,0.0,0,0
0,1,1,2325,9,7,0.0,0,0
0,0,1,132,9,1,0.0,0,0
0,0,1,791,7,9,0.0,0,0
0,1,1,816,9,10,0.0,0,0
0,0,1,61,9,10,0.0,0,0
1,1,1,819,10,9,0.0,0,0
0,1,1,135,9,4,0.0,0,0
1,0,1,69,7,9,0.0,0,0
1,1,1,418,9,3,0.0,0,0
1,1,1,869,9,10,0.0,0,0
0,1,1,882,9,10,0.0,0,0
0,1,1,904,9,10,0.0,0,0
1,0,1,42,9,10,0.0,0,0
1,1,1,936,9,10,0.0,0,0
0,1,1,853,9,10,0.0,0,0
0,1,1,969,9,10,0.0,0,0
0,1,1,2207,9,3,0.0,0,0
1,0,1,35,3,9,0.0,0,0
1,0,1,7,9,1,0.0,0,0
1,0,1,9,9,3,0.0,0,0
1,0,1,7,9,3,52.0,0,0
1,0,1,7,9,1,0.0,0,0
1,0,1,35,9,1,0.0,0,0
1,0,1,991,9,4,0.0,0,0
0,0,1,99,3,9,0.0,0,0
0,0,1,527,7,9,0.0,0,0
0,1,1,1000,3,9,46.75,0,0
1,1,1,2360,7,9,0.0,0,0
0,0,1,77,5,9,0.0,0,0
0,0,1,77,7,9,0.0,0,0
1,0,1,7,9,1,0.0,0,0
1,0,1,7,5,9,59.0,0,0
0,1,1,798,7,9,0.0,0,0
0,1,1,76,4,9,0.0,0,0
1,1,1,115,11,9,59.0,0,0
1,0,1,7,9,1,0.0,0,0
1,0,1,1026,9,1,0.0,0,0
1,0,1,7,9,1,0.0,0,0
0,1,1,76,7,9,0.0,0,0
1,0,1,555,5,9,0.0,0,0
1,0,0,620,9,10,0.0,0,0
0,0,0,382,7,9,0.0,0,0
0,1,1,95,7,9,0.0,0,0
0,1,1,619,9,1,0.0,0,0
0,0,1,555,5,9,0.0,0,0
0,1,1,490,9,4,0.0,0,0
0,1,1,391,7,9,59.0,0,0
1,1,1,532,5,9,62.0,0,0
1,0,1,7,9,1,0.0,0,0
1,1,1,736,6,9,0.0,0,0
1,1,0,2372,9,1,0.0,0,0
0,0,1,2211,3,9,36.0,0,0
0,1,1,631,7,9,0.0,0,0
0,1,1,144,7,9,68.0,0,0
0,1,1,187,4,9,42.0,0,0
0,1,1,95,7,9,0.0,0,0
0,0,1,1110,4,9,0.0,0,0
0,1,1,1114,3,9,0.0,0,0
1,0,1,16,5,9,63.5,0,0
0,1,1,1004,7,9,0.0,0,0
1,0,1,1115,8,9,74.0,0,0
1,1,1,2387,7,9,0.0,0,0
1,0,1,1123,9,3,0.0,0,0
0,1,1,1127,4,9,0.0,0,0
1,1,1,57,4,9,105.25,0,0
0,0,1,1131,9,10,0.0,0,0
0,0,1,2213,9,7,0.0,0,0
0,1,1,2204,9,1,0.0,0,0
1,0,1,1140,9,10,0.0,0,0
0,1,1,95,9,5,0.0,0,0
0,0,1,390,9,3,0.0,0,0
0,1,1,135,4,9,0.0,0,0
0,0,1,70,9,1,0.0,0,0
0,1,1,246,9,4,0.0,0,0
1,0,1,7,5,9,0.0,0,0
1,0,1,1123,3,9,0.0,0,0
0,0,1,2211,9,1,0.0,0,0
0,0,1,230,9,1,0.0,0,0
1,0,1,804,5,9,77.0,0,0
0,1,1,95,3,9,0.0,0,0
1,1,0,1162,9,8,74.0,0,0
1,1,1,526,3,9,76.0,0,0
1,0,0,1163,7,9,0.0,0,0
0,1,1,37,5,9,0.0,0,0
0,1,1,144,9,7,0.0,0,0
1,1,1,978,9,10,0.0,0,0
0,0,1,104,9,7,0.0,0,0
0,1,1,76,9,1,0.0,0,0
0,1,1,389,6,9,0.0,0,0
0,0,1,1138,9,7,0.0,0,0
0,1,1,187,7,9,0.0,0,0
0,1,0,2388,7,9,0.0,0,0
0,0,0,1197,9,1,0.0,0,0
1,1,1,1202,9,4,0.0,0,0
1,0,1,162,11,9,82.0,0,0
0,1,1,343,4,9,0.0,0,0
0,0,1,2211,9,10,0.0,0,0
0,1,1,144,9,3,0.0,0,0
0,1,1,2399,9,5,0.0,0,0
0,1,1,205,9,10,0.0,0,0
0,0,1,489,9,7,0.0,0,0
0,1,1,323,4,9,0.0,0,0
0,1,1,932,9,4,0.0,0,0
0,1,1,1242,9,4,0.0,0,0
0,1,1,95,5,9,0.0,0,0
0,1,0,673,7,9,0.0,0,0
1,1,1,1247,9,10,0.0,0,0
1,1,1,479,5,9,0.0,0,0
0,0,1,498,7,9,0.0,0,0
1,0,1,1300,6,9,0.0,0,0
0,1,1,347,9,10,0.0,0,0
0,1,1,878,3,9,0.0,0,0
0,0,1,407,10,9,0.0,0,0
0,1,1,1108,9,4,0.0,0,0
1,1,1,1376,7,9,0.0,0,0
1,0,1,616,9,1,0.0,0,0
1,0,1,616,9,1,0.0,0,0
1,0,1,1020,3,9,0.0,0,0
1,0,1,16,9,1,0.0,0,0
